5DCB	U+5CBF
5DD2	U+5CE6
5DD4	U+5DC5
5DF0	U+5DEF
5E25	U+5E05
5E2B	U+5E08
5E33	U+5E10
5E36	U+5E26
5E40	U+5E27
5E43	U+5E0F
5E57	U+5E3C
5E58	U+5E3B
5E5F	U+5E1C
5E63	U+5E01
5E6B	U+5E2E
5E6C	U+5E31
5E79	U+5E72
5E7A	U+4E48
5E7E	U+51E0
5EAB	U+5E93
5EC1	U+5395
5EC2	U+53A2
5EC4	U+53A9
5EC8	U+53A6
5EDA	U+53A8
5EDD	U+53AE
5EDF	U+5E99
5EE0	U+5382
5EE1	U+5E91
5EE2	U+5E9F
5EE3	U+5E7F
5EE9	U+5EEA
5EEC	U+5E90
5EF3	U+5385
5F12	U+5F11
5F33	U+5F2A
5F35	U+5F20
5F37	U+5F3A
5F48	U+5F39
5F4C	U+5F25
5F4E	U+5F2F
5F59	U+6C47
5F5E	U+5F5D
5F65	U+5F66
5F8C	U+540E
5F91	U+5F84
5F9E	U+4ECE
5FA0	U+5F95
5FA9	U+590D
5FB5	U+5F81
5FB9	U+5F7B
5FD7	U+5FD7
6046	U+6052
6065	U+803B
6085	U+60A6
609E	U+60AE
60B5	U+6005
60B6	U+95F7
60E1	U+6076
60F1	U+607C
60F2	U+607D
60FB	U+607B
611B	U+7231
611C	U+60EC
6128	U+60AB
6134	U+6006
6137	U+607A
613E	U+5FFE
6144	U+6817
614B	U+6001
614D	U+6120
6158	U+60E8
615A	U+60ED
615F	U+6078
6163	U+60EF
6164	U+60AB
616A	U+6004
616B	U+6002
616E	U+8651
6173	U+60AD
6176	U+5E86
6182	U+5FE7
618A	U+60EB
6190	U+601C
6191	U+51ED
6192	U+6126
619A	U+60EE
61A4	U+6124
61AB	U+60AF
61AE	U+6003
61B2	U+5BAA
61B6	U+5FC6
61C7	U+6073
61C9	U+5E94
61CC	U+603F
61CD	U+61D4
61DF	U+603C
61E3	U+61D1
61E8	U+6079
61F2	U+60E9
61F6	U+61D2
61F7	U+6000
61F8	U+60AC
61FA	U+5FCF
61FC	U+60E7
61FE	U+6151
6200	U+604B
6207	U+6206
6214	U+620B
6227	U+6217
6229	U+622C
6230	U+6218
6231	U+622F
6232	U+620F
6236	U+6237
62CB	U+629B
6329	U+635D
633E	U+631F
6368	U+820D
636B	U+626A
6383	U+626B
6384	U+62A1
6397	U+631C
6399	U+6323
639B	U+6302
63A1	U+91C7
63C0	U+62E3
63DA	U+626C
63DB	U+6362
63EE	U+6325
640D	U+635F
6416	U+6447
6417	U+6363
6435	U+63FE
6436	U+62A2
6451	U+63B4
645C	U+63BC
645F	U+6402
646F	U+631A
6473	U+62A0
6476	U+629F
647B	U+63BA
6488	U+635E
648F	U+6326
6490	U+6491
6493	U+6320
649D	U+39D1
649F	U+6322
64A3	U+63B8
64A5	U+62E8
64AB	U+629A
64B2	U+6251
64B3	U+63FF
64BB	U+631E
64BE	U+631D
64BF	U+6361
64C1	U+62E5
64C4	U+63B3
64C7	U+62E9
64CA	U+51FB
64CB	U+6321
64D3	U+39DF
64D4	U+62C5
64DA	U+636E
64E0	U+6324
64EC	U+62DF
64EF	U+6448
64F0	U+62E7
64F1	U+6401
64F2	U+63B7
64F4	U+6269
64F7	U+64B7
64FA	U+6446
64FB	U+64DE
64FC	U+64B8
64FE	U+6270
6504	U+6445
6506	U+64B5
650F	U+62E2
6514	U+62E6
6516	U+6484
6519	U+6400
651B	U+64BA
651C	U+643A
651D	U+6444
6522	U+6512
6523	U+631B
6524	U+644A
652A	U+6405
652C	U+63FD
6557	U+8D25
6558	U+53D9
6575	U+654C
6578	U+6570
6582	U+655B
6583	U+6BD9
6595	U+6593
65AC	U+65A9
65B7	U+65AD
65BC	U+4E8E
6642	U+65F6
6649	U+664B
665D	U+663C
6688	U+6655
6689	U+6656
6698	U+65F8
66A2	U+7545
66AB	U+6682
66C4	U+6654
66C6	U+5386
66C7	U+6619
66C9	U+6653
66CF	U+5411
66D6	U+66A7
66E0	U+65F7
66E8	U+663D
66EC	U+6652
66F8	U+4E66
6703	U+4F1A
6727	U+80E7
6771	U+4E1C
6774	U+9528
6781	U+6781
67F5	U+6805
687F	U+6746
6894	U+6800
6898	U+67A7
689D	U+6761
689F	U+67AD
68B2	U+68C1
68C4	U+5F03
