4E3D	3.7
4E53	4.5
4E54	37.3
4E55	4.6
5068	9.10
5091	9.10
510D	9.13
511A	9.14
514E	10.5
5168	9.4
51B4	15.4
51E1	3.2
527F	18.11
52F8	19.18
5336	22.18
539C	27.8
53A8	27.10
53AF	27.11
540E	30.3
5559	30.8
558D	30.9
55C7	30.10
56CC	140.19
5854	32.10
585F	32.10
5869	32.10
58E1	32.16
58F3	33.5
58FB	33.9
5909	34.6
59EB	38.6
5A8E	38.9
5B3D	38.15
5B57	39.3
5BA7	40.6
5BC3	40.8
5C06	41.7
5CF8	46.7
5E02	50.2
5E48	50.9
5E69	50.13
5FC1	60.17
6148	61.9
61FB	61.17
6226	62.9
62CB	64.4
62DF	64.5
633B	64.7
634F	64.7
63B2	64.8
643A	64.10
6468	64.12
649D	64.9
64E5	64.14
659E	68.9
663C	44.6
665F	72.7
66DA	72.14
6703	73.9
6918	75.8
6994	75.10
6998	75.10
6A27	75.11
6A65	75.12
6AEB	75.16
6B55	76.13
6BD7	81.5
6C39	85.1
6C3D	85.2
6D30	85.5
6D8E	85.7
6ED5	85.10
6EDE	85.10
6F13	85.11
6F5E	85.13
6FF7	85.15
7199	86.9
7341	94.10
7409	96.6
7490	96.13
7493	96.11
74A2	96.12
74B7	96.15
754B	102.4
7627	104.10
7726	109.5
7740	109.6
77AC	109.12
77C7	109.14
78A1	112.8
78C1	112.9
78E4	112.10
7985	113.9
7A49	115.11
7A83	116.4
7B04	118.4
7B39	118.5
7B3D	108.6
7BAA	118.9
7BFD	118.11
7C7B	119.3
7C9B	129.6
7CC0	119.8
7E61	120.13
7E9B	120.19
7F39	86.6
7FF8	124.12
7FFC	124.11
80B4	130.4
80E4	130.5
8109	130.5
81B5	130.12
81B9	130.13
8275	139.8
8438	140.9
8531	140.11
85F8	140.16
8624	140.17
8631	140.19
86D6	142.7
8712	142.7
8749	142.9
8773	142.8
878D	142.10
8B14	149.10
8CE6	154.7
8D07	154.11
8DDD	157.5
8E2B	157.9
8E6E	157.12
8E9A	157.16
8F4D	159.12
9083	162.14
9089	162.14
9141	163.17
9328	167.9
937A	167.9
947F	167.20
9819	181.4
9824	181.6
986A	181.13
98FA	184.5
991D	184.8
9942	184.10
9959	184.13
99E1	187.6
9A40	187.11
9AC4	188.9
9AED	190.5
9B2E	191.16
9BBA	195.7
9C20	195.10
9DBF	196.10
9DE9	196.12
9ED0	202.11
9F07	205.11
9F9D	115.16
