56E2	U+5718
56ED	U+5712
56F0	U+774F
56F1	U+56EA
56F4	U+570D
56F5	U+5707
56FD	U+570B
56FE	U+5716
5706	U+5713
5723	U+8056
5739	U+58D9
573A	U+5834
5742	U+962A
574F	U+58DE
5757	U+584A
575A	U+5805
575B	U+58C7 U+7F48
575C	U+58E2
575D	U+58E9
575E	U+5862
575F	U+58B3
5760	U+589C
5784	U+58DF
5785	U+58E0
5786	U+58DA
5792	U+58D8
57A6	U+58BE
57A9	U+580A
57AB	U+588A
57AD	U+57E1
57B1	U+58CB
57B2	U+584F
57B4	U+5816
57D8	U+5852
57D9	U+5864
57DA	U+581D
57EF	U+57B5
5811	U+5879
5815	U+58AE
5899	U+58BB U+7246
58EE	U+58EF
58F0	U+8072
58F3	U+6BBB U+6BBC
58F6	U+58FA
58F8	U+58FC
5904	U+8655
5907	U+5099
590D	U+5FA9 U+8907 U+8986
591F	U+5920
5934	U+982D
5938	U+8A87
5939	U+593E
593A	U+596A
5941	U+5969
5942	U+5950
594B	U+596E
5956	U+596C U+734E
5965	U+5967
5978	U+59E6
5986	U+599D
5987	U+5A66
5988	U+5ABD
59A9	U+5AF5
59AA	U+5AD7
59AB	U+5AAF U+5B00
59D7	U+59CD
59F9	U+597C
5A04	U+5A41
5A05	U+5A6D
5A06	U+5B08
5A07	U+5B0C
5A08	U+5B4C
5A31	U+5A1B
5A32	U+5AA7
5A34	U+5AFB
5A73	U+5AFF
5A74	U+5B30
5A75	U+5B0B
5A76	U+5B38
5AAA	U+5ABC
5AD2	U+5B21
5AD4	U+5B2A
5AF1	U+5B19
5B37	U+5B24
5B59	U+5B6B
5B66	U+5B78
5B6A	U+5B7F
5B81	U+5BE7
5B9D	U+5BF6
5B9E	U+5BE6
5BA0	U+5BF5
5BA1	U+5BE9
5BAA	U+61B2
5BAB	U+5BAE
5BBD	U+5BEC
5BBE	U+8CD3
5BDD	U+5BE2
5BF9	U+5C0D
5BFB	U+5C0B
5BFC	U+5C0E
5BFF	U+58FD
5C06	U+5C07
5C14	U+723E
5C18	U+5875
5C1D	U+5617
5C27	U+582F
5C34	U+5C37
5C38	U+5C4D
5C3D	U+5118 U+76E1
5C42	U+5C64
5C43	U+5C53
5C49	U+5C5C
5C4A	U+5C46
5C5E	U+5C6C
5C61	U+5C62
5C66	U+5C68
5C7F	U+5DBC
5C81	U+6B72
5C82	U+8C48
5C96	U+5D87
5C97	U+5D17
5C98	U+5CF4
5C99	U+5DB4
5C9A	U+5D50
5C9B	U+5CF6
5CAD	U+5DBA
5CBD	U+5D2C
5CBF	U+5DCB
5CC4	U+5DA7
5CE1	U+5CFD
5CE3	U+5DA2
5CE4	U+5DA0
5CE5	U+5D22
5CE6	U+5DD2
5D02	U+5D97
5D03	U+5D0D
5D04	U+5DAE
5D2D	U+5D84
5D58	U+5DB8
5D5A	U+5D94
5D5D	U+5D81
5DC5	U+5DD4
5DE9	U+978F
5DEF	U+5DF0
5E01	U+5E63
5E05	U+5E25
5E08	U+5E2B
5E0F	U+5E43
5E10	U+5E33
5E18	U+7C3E
5E1C	U+5E5F
5E26	U+5E36
5E27	U+5E40
5E2E	U+5E6B
5E31	U+5E6C
5E3B	U+5E58
5E3C	U+5E57
5E42	U+51AA
5E72	U+4E7E U+5E79
5E76	U+4E26 U+4F75
5E7F	U+5EE3
5E84	U+838A
5E86	U+6176
5E90	U+5EEC
5E91	U+5EE1
5E93	U+5EAB
5E94	U+61C9
5E99	U+5EDF
5E9E	U+9F90
5E9F	U+5EE2
5EEA	U+5EE9
5F00	U+958B
5F02	U+7570
5F03	U+68C4
5F11	U+5F12
5F20	U+5F35
5F25	U+5F4C
5F2A	U+5F33
5F2F	U+5F4E
5F39	U+5F48
5F3A	U+5F37
5F52	U+6B78
5F53	U+5679 U+7576
5F55	U+9304 U+9332
5F5D	U+5F5E
5F66	U+5F65
5F7B	U+5FB9
5F81	U+5FB5
5F84	U+5F91
5F95	U+5FA0
5FA1	U+79A6
5FC6	U+61B6
5FCF	U+61FA
5FD7	U+5FD7 U+8A8C
5FE7	U+6182
5FFE	U+613E
6000	U+61F7
6001	U+614B
6002	U+616B
6003	U+61AE
6004	U+616A
6005	U+60B5
6006	U+6134
601C	U+6190
603B	U+7E3D
603C	U+61DF
603F	U+61CC
604B	U+6200
6052	U+6046
6073	U+61C7
6076	U+60E1
6078	U+615F
6079	U+61E8
607A	U+6137
607B	U+60FB
607C	U+60F1
607D	U+60F2
60A6	U+6085
60AB	U+6128 U+6164
60AC	U+61F8
60AD	U+6173
60AE	U+609E
60AF	U+61AB
60CA	U+9A5A
60E7	U+61FC
60E8	U+6158
60E9	U+61F2
60EB	U+618A
60EC	U+611C
60ED	U+615A
60EE	U+619A
60EF	U+6163
6120	U+614D
6124	U+61A4
6126	U+6192
613F	U+9858
6151	U+61FE
61D1	U+61E3
61D2	U+61F6
61D4	U+61CD
6206	U+6207
620B	U+6214
620F	U+6232
6217	U+6227
6218	U+6230
622C	U+6229
622F	U+6231
6237	U+6236
6251	U+64B2
6267	U+57F7
6269	U+64F4
626A	U+636B
626B	U+6383
626C	U+63DA
6270	U+64FE
629A	U+64AB
629B	U+62CB
629F	U+6476
62A0	U+6473
62A1	U+6384
62A2	U+6436
62A4	U+8B77
62A5	U+5831
62C5	U+64D4
62DF	U+64EC
62E2	U+650F
62E3	U+63C0
62E5	U+64C1
62E6	U+6514
62E7	U+64F0
62E8	U+64A5
62E9	U+64C7
6302	U+639B
631A	U+646F
631B	U+6523
631C	U+6397
631D	U+64BE
631E	U+64BB
631F	U+633E
6320	U+6493
6321	U+64CB
6322	U+649F
6323	U+6399
6324	U+64E0
6325	U+63EE
6326	U+648F
633D	U+8F13
635D	U+6329
635E	U+6488
635F	U+640D
6361	U+64BF
6362	U+63DB
6363	U+6417
636E	U+64DA
63B3	U+64C4
63B4	U+6451
63B7	U+64F2
63B8	U+64A3
63BA	U+647B
63BC	U+645C
63FD	U+652C
63FE	U+6435
