4E55	4.6
4FAE	9.6
50E7	9.11
5132	9.15
5199	14.3
533F	22.8
5358	42.6
5373	26.5
537F	26.7
550C	30.7
559D	52.8
564C	30.11
5668	30.6
56AE	30.14
56CC	30.19
57D3	32.7
585A	32.9
58A8	32.11
5ABC	38.9
5C64	44.11
5DB2	172.8
5E30	58.7
5EE3	53.11
5FB3	60.11
6094	61.6
618E	61.11
61CA	61.12
61F2	61.14
6226	62.9
630B	64.7
634F	64.7
6353	64.8
6394	64.9
63BD	64.9
63C5	64.9
643D	64.9
6461	64.12
6483	64.11
649B	64.13
64CE	64.12
64E5	64.15
64ED	64.13
654F	66.6
65B2	69.11
65DF	70.15
663C	44.6
6660	72.6
6720	74.8
67C9	75.4
67F9	75.4
6885	75.6
6949	75.8
695B	75.8
698A	75.9
6A6B	75.11
6AB4	75.13
6B02	75.16
6B04	75.17
6B17	75.20
6B6F	77.8
6B8B	78.6
6BBA	79.6
6CD2	85.6
6CDA	85.5
6CF2	85.4
6D45	85.6
6DDA	85.7
6E36	85.8
6EAB	85.9
6F22	85.10
6F2D	85.10
6F5A	85.13
6F7E	85.13
6FB3	85.12
6FF9	85.14
701E	85.14
7081	86.5
7150	86.8
71C1	86.10
7217	86.14
73F9	96.6
740A	96.8
7422	96.7
744B	96.10
7476	96.9
7490	96.13
7498	96.13
7571	102.7
761F	104.9
7629	104.9
763C	104.10
7648	104.9
7728	109.4
7740	109.7
7784	109.8
77B1	109.10
7811	112.5
7814	112.4
782D	112.4
787E	112.8
78A4	112.8
78F7	112.13
7920	112.13
7925	112.16
7995	113.10
79ED	115.4
7A40	115.9
7A81	116.3
7A86	116.4
7AC3	116.12
7B1F	118.6
7B2B	118.4
7B9B	118.9
7CA6	119.7
7DE2	120.8
7DF4	120.8
7E27	120.11
7E41	120.10
7F5B	122.6
8074	128.11
80CD	126.6
80EE	130.7
81D7	130.14
82FD	140.6
831E	140.7
837F	140.6
83BD	140.6
848B	140.10
84CF	140.12
8507	140.12
85AD	140.13
865C	141.7
869C	142.5
86CD	42.8
8910	145.8
8918	145.10
8956	145.12
8977	145.18
8AF8	149.8
8B01	149.8
8B0A	149.9
8B0B	149.11
8B21	149.9
8B39	149.10
8B45	149.14
8B7C	149.15
8C93	153.8
8CD3	154.8
8D08	154.11
8DF5	157.6
8E89	157.12
8EF1	159.6
8F54	159.13
8F55	159.12
8FA7	18.14
8FD3	162.5
9004	162.7
9065	162.9
9074	162.13
90D5	163.6
90FD	163.8
9100	163.8
911A	163.10
92E3	167.8
92EE	167.6
92FB	167.9
9373	167.10
93A1	167.9
93A9	167.10
93CC	167.10
93F4	167.12
93FB	167.13
93FD	167.13
9415	167.14
944A	167.13
95C8	169.10
9686	170.8
96E3	172.10
97BE	177.10
97DB	178.10
9823	181.7
9825	181.8
983B	181.8
985E	181.9
9934	184.8
9A28	187.9
9A4A	187.10
9A4C	187.13
9BCE	195.6
9C19	195.8
9C26	195.9
9CED	196.3
9D93	196.8
9DBF	196.9
9DEB	196.13
9E78	197.8
9F21	42.5
9F56	211.5
